119,0,5
164,0,5
194,0,5
185,1,10
188,1,10
109,0,5
158,0,5
105,1,10
100,1,10
181,0,5
148,1,10
185,0,5
142,0,5
146,1,10
198,0,5
149,0,5
114,1,10
160,0,5
200,1,10
150,0,5
132,0,5
181,1,10
171,0,5
107,0,5
164,1,10
113,0,5
133,1,10
129,0,5
156,1,10
154,0,5
105,0,5
197,1,10
148,1,10
134,1,10
136,1,10
192,1,10
192,0,5
173,1,10
158,1,10
185,1,10
150,0,5
165,0,5
146,0,5
187,0,5
175,0,5
138,0,5
154,0,5
138,1,10
113,1,10
153,1,10
151,1,10
172,1,10
127,0,5
116,1,10
162,1,10
183,1,10
118,1,10
199,1,10
195,1,10
141,1,10
102,0,5
198,0,5
179,1,10
125,0,5
127,1,10
177,0,5
104,1,10
117,1,10
153,0,5
144,0,5
104,1,10
157,1,10
129,1,10
162,0,5
153,1,10
139,0,5
190,1,10
177,0,5
129,1,10
112,0,5
128,1,10
172,0,5
178,0,5
126,1,10
177,1,10
157,0,5
194,1,10
110,0,5
101,1,10
124,0,5
189,1,10
142,0,5
151,1,10
104,0,5
137,1,10
131,0,5
129,1,10
130,0,5
129,0,5
152,0,5
